ID,Date,Element,Data_Value
SPE00120512,2009-10-15,TMIN,159
SPE00120512,2009-12-30,TMIN,122
SPE00120512,2005-08-24,TMIN,194
SPE00120512,2005-01-01,TMAX,185
SPE00120512,2007-05-31,TMAX,300
SPE00120512,2007-09-16,TMAX,316
SPE00120512,2008-12-01,TMIN,42
SPE00120512,2009-10-29,TMIN,184
SPE00120512,2013-02-05,TMAX,189
SPE00120512,2009-08-15,TMAX,396
SPE00120512,2013-12-22,TMAX,178
SPE00120512,2007-12-01,TMIN,60
SPE00120512,2007-08-18,TMIN,228
SPE00120512,2010-07-10,TMAX,402
SPE00120512,2013-12-22,TMIN,33
SPE00120512,2012-08-06,TMAX,330
SPE00120512,2010-05-25,TMIN,160
SPE00120512,2009-11-08,TMAX,223
SPE00120512,2015-02-02,TMAX,132
SPE00120512,2015-02-02,TMIN,30
SPE00120512,2007-05-30,TMIN,150
SPE00120512,2013-02-05,TMIN,41
SPE00120512,2015-06-12,TMAX,277
SPE00120512,2005-10-24,TMIN,126
SPE00120512,2006-03-11,TMAX,215
SPE00120512,2013-04-22,TMIN,130
SPE00120512,2007-06-01,TMIN,165
SPE00120512,2007-10-06,TMIN,165
SPE00120512,2005-11-06,TMIN,102
SPE00120512,2006-12-11,TMAX,160
SPE00120512,2014-07-14,TMAX,389
SPE00120512,2006-10-09,TMIN,149
SPE00120512,2005-11-14,TMIN,77
SPE00120512,2009-06-15,TMAX,370
SPE00120512,2007-10-06,TMAX,279
SPE00120512,2014-05-05,TMIN,136
SPE00120512,2013-06-05,TMAX,265
SPE00120512,2014-11-26,TMAX,184
SPE00120512,2011-02-26,TMIN,91
SPE00120512,2005-01-01,TMIN,20
SPE00120512,2015-11-27,TMAX,212
SPE00120512,2012-07-16,TMIN,206
SPE00120512,2005-10-21,TMAX,238
SPE00120512,2014-08-09,TMAX,367
SPE00120512,2005-08-06,TMIN,213
SPE00120512,2005-10-06,TMAX,316
SPE00120512,2008-08-26,TMIN,212
SPE00120512,2009-03-07,TMAX,208
SPE00120512,2007-09-02,TMIN,215
SPE00120512,2012-07-16,TMAX,387
SPE00120512,2014-05-05,TMAX,328
SPE00120512,2005-04-28,TMIN,140
SPE00120512,2006-12-07,TMIN,75
SPE00120512,2010-08-14,TMIN,214
SPE00120512,2009-06-15,TMIN,232
SPE00120512,2011-01-03,TMIN,84
SPE00120512,2014-10-09,TMIN,200
SPE00120512,2015-12-20,TMIN,87
SPE00120512,2010-05-05,TMAX,244
SPE00120512,2005-11-16,TMIN,91
SPE00120512,2007-04-06,TMAX,154
SPE00120512,2014-01-06,TMIN,57
SPE00120512,2009-04-10,TMAX,200
SPE00120512,2014-12-12,TMIN,26
SPE00120512,2010-10-13,TMAX,261
SPE00120512,2015-07-23,TMIN,232
SPE00120512,2015-10-01,TMAX,309
SPE00120512,2012-02-12,TMAX,123
SPE00120512,2007-12-23,TMIN,122
SPE00120512,2009-11-08,TMIN,117
SPE00120512,2005-12-12,TMIN,10
SPE00120512,2014-09-18,TMAX,260
SPE00120512,2006-10-09,TMAX,315
SPE00120512,2007-06-24,TMAX,350
SPE00120512,2006-08-24,TMIN,220
SPE00120512,2007-11-05,TMIN,114
SPE00120512,2005-09-04,TMIN,215
SPE00120512,2014-04-15,TMIN,127
SPE00120512,2007-09-16,TMIN,203
SPE00120512,2013-09-01,TMIN,202
SPE00120512,2014-08-21,TMAX,342
SPE00120512,2005-08-24,TMAX,390
SPE00120512,2012-05-30,TMAX,363
SPE00120512,2008-07-22,TMAX,382
SPE00120512,2011-02-19,TMAX,165
SPE00120512,2009-07-22,TMIN,219
SPE00120512,2008-09-21,TMIN,203
SPE00120512,2015-10-01,TMIN,148
SPE00120512,2007-12-23,TMAX,150
SPE00120512,2006-11-05,TMIN,171
SPE00120512,2011-02-19,TMIN,96
SPE00120512,2008-04-22,TMAX,234
SPE00120512,2012-02-14,TMIN,-14
SPE00120512,2005-02-16,TMAX,145
SPE00120512,2012-02-14,TMAX,167
SPE00120512,2005-10-24,TMAX,257
SPE00120512,2006-08-24,TMAX,374
SPE00120512,2010-09-25,TMIN,182
SPE00120512,2007-08-18,TMAX,366
SPE00120512,2014-11-24,TMIN,149
SPE00120512,2013-09-01,TMAX,355
SPE00120512,2005-03-24,TMAX,228
SPE00120512,2014-08-21,TMIN,176
SPE00120512,2014-01-07,TMIN,55
SPE00120512,2013-02-12,TMIN,54
SPE00120512,2014-11-26,TMIN,137
